dataset,graphType,promptTitle,xCategory_1,xCategory_2,yCategory,prompt,taskCategory,questionCategory,description,questionType,corrFilename,filenameArray,graphPNG,,xCategory_1,xCategory_2,corrAns,x1_facetF,x1_facetT,x2_facetF,x2_facetT,promptCategory_1,promptCategory_2,prompt_1,prompt_2
tenmilerace,barchart,Cherry Blossom Race,sex,state,time,"Within women, how much longer does it take runners from the state with the longest times to complete the race compared to runners from the state with the fastest times?",determine_range,6,"This data visualization is intended to show information about: <b>marathon times of runners from different states across the United States</b>. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",numerical,race_x1state_facetsex_reorderlarge_to_small_colorrainbow.png,"race_x1state_facetsex_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetnone_reorderalph_colorrainbow.png,race_x1sex_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetstate_reorderalph_colorrainbow.png,race_x1sex_facetstate_reorderlarge_to_small_colorrainbow.png,race_x1state_facetnone_reorderalph_colorrainbow.png,race_x1state_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1state_facetsex_reorderalph_colorrainbow.png",,CAT2xCAT1,sex,state,0.06,F,*,F,T,T,T,sex,state
pizzaplace,barchart,Pizza Sales,size,name,order_count,"On average, how many orders of large pepperoni pizzas are made?",retrieve_value,1,"This data visualization is intended to show information about: <b>number of pizza orders for different kinds of pizzas across different sizes</b>. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",numerical,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,"pizza_x1name_facetnone_reorderalph_colorrainbow.png,pizza_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,pizza_x1name_facetsize_reorderalph_colorrainbow.png,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetname_reorderalph_colorrainbow.png,pizza_x1size_facetname_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetnone_reorderalph_colorrainbow.png,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,size,name,5,F,T,F,T,T,T,size,name
pizzaplace,barchart,Pizza Sales,size,name,order_count,"On average, how many orders of large pizzas are made?",retrieve_value,2,"This data visualization is intended to show information about: <b>number of pizza orders for different kinds of pizzas across different sizes</b>. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",numerical,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png,"pizza_x1name_facetnone_reorderalph_colorrainbow.png,pizza_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,pizza_x1name_facetsize_reorderalph_colorrainbow.png,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetname_reorderalph_colorrainbow.png,pizza_x1size_facetname_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetnone_reorderalph_colorrainbow.png,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,size,name,5.04,*,T,F,T,T,F,size,NA
pizzaplace,barchart,Pizza Sales,size,name,order_count,"On average, how many more orders are made of large pizzas compared to small pizzas?",make_comparisons,3,"This data visualization is intended to show information about: <b>number of pizza orders for different kinds of pizzas across different sizes</b>. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",numerical,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png,"pizza_x1name_facetnone_reorderalph_colorrainbow.png,pizza_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,pizza_x1name_facetsize_reorderalph_colorrainbow.png,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetname_reorderalph_colorrainbow.png,pizza_x1size_facetname_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetnone_reorderalph_colorrainbow.png,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,size,name,0.44,*,T,F,T,T,F,size,NA
pizzaplace,barchart,Pizza Sales,size,name,order_count,"On average, how many more orders of large pepperoni pizzas are made compared to large Hawaiian pizzas?",make_comparisons,4,"This data visualization is intended to show information about: <b>number of pizza orders for different kinds of pizzas across different sizes</b>. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",numerical,pizza_x1size_facetname_reorderlarge_to_small_colorrainbow.png,"pizza_x1name_facetnone_reorderalph_colorrainbow.png,pizza_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,pizza_x1name_facetsize_reorderalph_colorrainbow.png,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetname_reorderalph_colorrainbow.png,pizza_x1size_facetname_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetnone_reorderalph_colorrainbow.png,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1xCAT2,size,name,0.4,F,*,F,T,T,T,size,name
pizzaplace,barchart,Pizza Sales,size,name,order_count,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,determine_range,5,"This data visualization is intended to show information about: <b>number of pizza orders for different kinds of pizzas across different sizes</b>. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",numerical,pizza_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,"pizza_x1name_facetnone_reorderalph_colorrainbow.png,pizza_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,pizza_x1name_facetsize_reorderalph_colorrainbow.png,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetname_reorderalph_colorrainbow.png,pizza_x1size_facetname_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetnone_reorderalph_colorrainbow.png,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2,size,name,0.42,F,T,*,T,F,T,NA,name
pizzaplace,barchart,Pizza Sales,size,name,order_count,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",determine_range,6,"This data visualization is intended to show information about: <b>number of pizza orders for different kinds of pizzas across different sizes</b>. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",numerical,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,"pizza_x1name_facetnone_reorderalph_colorrainbow.png,pizza_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,pizza_x1name_facetsize_reorderalph_colorrainbow.png,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetname_reorderalph_colorrainbow.png,pizza_x1size_facetname_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetnone_reorderalph_colorrainbow.png,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,size,name,1.11,F,*,F,T,T,T,size,name
star,barchart,Student Teacher Achievement Ratio,class_type,grade,read,"On average, what is the reading score of 3rd graders who are in regular sized classrooms? ",retrieve_value,1,"This data visualization is intended to show information about: <b>reading scores of elementary school students from different classroom types across different grade levels</b>. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",numerical,star_x1grade_facetclass_type_reorderlarge_to_small_colorrainbow.png,"star_x1grade_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetgrade_reorderalph_colorrainbow.png,star_x1class_type_facetgrade_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetnone_reorderalph_colorrainbow.png,star_x1class_type_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetclass_type_reorderalph_colorrainbow.png,star_x1grade_facetclass_type_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetnone_reorderalph_colorrainbow.png",,CAT2xCAT1,class_type,grade,573,F,T,F,T,T,T,class_type,grade
star,barchart,Student Teacher Achievement Ratio,class_type,grade,read,"On average, what is the reading score of students who are in regular-sized classrooms? ",retrieve_value,2,"This data visualization is intended to show information about: <b>reading scores of elementary school students from different classroom types across different grade levels</b>. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",numerical,star_x1class_type_facetnone_reorderlarge_to_small_colorrainbow.png,"star_x1grade_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetgrade_reorderalph_colorrainbow.png,star_x1class_type_facetgrade_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetnone_reorderalph_colorrainbow.png,star_x1class_type_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetclass_type_reorderalph_colorrainbow.png,star_x1grade_facetclass_type_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetnone_reorderalph_colorrainbow.png",,CAT1,class_type,grade,492.11,*,T,F,T,T,F,class_type,NA
star,barchart,Student Teacher Achievement Ratio,class_type,grade,read,"On average, how much higher are reading scores of students in small-sized classrooms compared to regular-sized classrooms? ",make_comparisons,3,"This data visualization is intended to show information about: <b>reading scores of elementary school students from different classroom types across different grade levels</b>. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",numerical,star_x1class_type_facetnone_reorderlarge_to_small_colorrainbow.png,"star_x1grade_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetgrade_reorderalph_colorrainbow.png,star_x1class_type_facetgrade_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetnone_reorderalph_colorrainbow.png,star_x1class_type_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetclass_type_reorderalph_colorrainbow.png,star_x1grade_facetclass_type_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetnone_reorderalph_colorrainbow.png",,CAT1,class_type,grade,51.31,*,T,F,T,T,F,class_type,NA
star,barchart,Student Teacher Achievement Ratio,class_type,grade,read,"On average, how much higher are reading scores by 3rd graders in regular-sized classrooms compared to kindergarteners in regular-sized classrooms?",make_comparisons,4,"This data visualization is intended to show information about: <b>reading scores of elementary school students from different classroom types across different grade levels</b>. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",numerical,star_x1class_type_facetgrade_reorderlarge_to_small_colorrainbow.png,"star_x1grade_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetgrade_reorderalph_colorrainbow.png,star_x1class_type_facetgrade_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetnone_reorderalph_colorrainbow.png,star_x1class_type_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetclass_type_reorderalph_colorrainbow.png,star_x1grade_facetclass_type_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetnone_reorderalph_colorrainbow.png",,CAT1xCAT2,class_type,grade,151.8,F,*,F,T,T,T,class_type,grade
star,barchart,Student Teacher Achievement Ratio,class_type,grade,read,How much higher are reading scores between the grade with the highest scores compared to the grade with the lowest score?,determine_range,5,"This data visualization is intended to show information about: <b>reading scores of elementary school students from different classroom types across different grade levels</b>. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",numerical,star_x1grade_facetnone_reorderlarge_to_small_colorrainbow.png,"star_x1grade_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetgrade_reorderalph_colorrainbow.png,star_x1class_type_facetgrade_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetnone_reorderalph_colorrainbow.png,star_x1class_type_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetclass_type_reorderalph_colorrainbow.png,star_x1grade_facetclass_type_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetnone_reorderalph_colorrainbow.png",,CAT2,class_type,grade,199.19,F,T,*,T,F,T,NA,grade
star,barchart,Student Teacher Achievement Ratio,class_type,grade,read,"Within small classrooms, how much higher are reading scores between the grade with the highest score compared to the grade with the lowest score?",determine_range,6,"This data visualization is intended to show information about: <b>reading scores of elementary school students from different classroom types across different grade levels</b>. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",numerical,star_x1grade_facetclass_type_reorderlarge_to_small_colorrainbow.png,"star_x1grade_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetgrade_reorderalph_colorrainbow.png,star_x1class_type_facetgrade_reorderlarge_to_small_colorrainbow.png,star_x1class_type_facetnone_reorderalph_colorrainbow.png,star_x1class_type_facetnone_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetclass_type_reorderalph_colorrainbow.png,star_x1grade_facetclass_type_reorderlarge_to_small_colorrainbow.png,star_x1grade_facetnone_reorderalph_colorrainbow.png",,CAT2xCAT1,class_type,grade,206.56,F,*,F,T,T,T,class_type,grade
storms,barchart,Storm Tracking,status,name,wind,"On average, how many miles per hour was Emily when categorized as a hurricane?",retrieve_value,1,"This data visualization is intended to show information about: <b>wind speeds (mph) of different storms categorized at different levels</b>. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",numerical,storms_x1name_facetstatus_reorderlarge_to_small_colorrainbow.png,"storms_x1name_facetnone_reorderalph_colorrainbow.png,storms_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,storms_x1name_facetstatus_reorderalph_colorrainbow.png,storms_x1name_facetstatus_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetname_reorderalph_colorrainbow.png,storms_x1status_facetname_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetnone_reorderalph_colorrainbow.png,storms_x1status_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,status,name,85,F,T,F,T,T,T,status,name
storms,barchart,Storm Tracking,status,name,wind,"On average, how many miles per hour are storms categorized as tropical storms?",retrieve_value,2,"This data visualization is intended to show information about: <b>wind speeds (mph) of different storms categorized at different levels</b>. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",numerical,storms_x1status_facetnone_reorderlarge_to_small_colorrainbow.png,"storms_x1name_facetnone_reorderalph_colorrainbow.png,storms_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,storms_x1name_facetstatus_reorderalph_colorrainbow.png,storms_x1name_facetstatus_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetname_reorderalph_colorrainbow.png,storms_x1status_facetname_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetnone_reorderalph_colorrainbow.png,storms_x1status_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,status,name,43.82,*,T,F,T,T,F,status,NA
storms,barchart,Storm Tracking,status,name,wind,"On average, how many miles per hour faster are storms categorized as hurricanes compared to those categorized as tropical depressions?",make_comparisons,3,"This data visualization is intended to show information about: <b>wind speeds (mph) of different storms categorized at different levels</b>. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",numerical,storms_x1status_facetnone_reorderlarge_to_small_colorrainbow.png,"storms_x1name_facetnone_reorderalph_colorrainbow.png,storms_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,storms_x1name_facetstatus_reorderalph_colorrainbow.png,storms_x1name_facetstatus_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetname_reorderalph_colorrainbow.png,storms_x1status_facetname_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetnone_reorderalph_colorrainbow.png,storms_x1status_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,status,name,56.29,*,T,F,T,T,F,status,NA
storms,barchart,Storm Tracking,status,name,wind,"On average, how many miles per hour faster was Hurricane Alberto compared to Hurricane Claudette?",make_comparisons,4,"This data visualization is intended to show information about: <b>wind speeds (mph) of different storms categorized at different levels</b>. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",numerical,storms_x1status_facetname_reorderlarge_to_small_colorrainbow.png,"storms_x1name_facetnone_reorderalph_colorrainbow.png,storms_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,storms_x1name_facetstatus_reorderalph_colorrainbow.png,storms_x1name_facetstatus_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetname_reorderalph_colorrainbow.png,storms_x1status_facetname_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetnone_reorderalph_colorrainbow.png,storms_x1status_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1xCAT2,status,name,2,F,*,F,T,T,T,status,name
storms,barchart,Storm Tracking,status,name,wind,How many miles per hour faster was the fastest storm compared to the slowest storm?,determine_range,5,"This data visualization is intended to show information about: <b>wind speeds (mph) of different storms categorized at different levels</b>. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",numerical,storms_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,"storms_x1name_facetnone_reorderalph_colorrainbow.png,storms_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,storms_x1name_facetstatus_reorderalph_colorrainbow.png,storms_x1name_facetstatus_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetname_reorderalph_colorrainbow.png,storms_x1status_facetname_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetnone_reorderalph_colorrainbow.png,storms_x1status_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2,status,name,21.61,F,T,*,T,F,T,NA,name
storms,barchart,Storm Tracking,status,name,wind,"Within storms categorized as hurricanes, how many more miles per hour was the fastest storm compared to the slowest storm? ",determine_range,6,"This data visualization is intended to show information about: <b>wind speeds (mph) of different storms categorized at different levels</b>. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",numerical,storms_x1name_facetstatus_reorderlarge_to_small_colorrainbow.png,"storms_x1name_facetnone_reorderalph_colorrainbow.png,storms_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,storms_x1name_facetstatus_reorderalph_colorrainbow.png,storms_x1name_facetstatus_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetname_reorderalph_colorrainbow.png,storms_x1status_facetname_reorderlarge_to_small_colorrainbow.png,storms_x1status_facetnone_reorderalph_colorrainbow.png,storms_x1status_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,status,name,12.08,F,*,F,T,T,T,status,name
accidents,barchart,Car Accidents,occRole,decade,injSeverity,"On average, what was the injury severity level of drivers in the 1990s?",retrieve_value,1,"This data visualization is intended to show information about: <b>severity level of injuries reported for during car accidents across different decades</b>. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",numerical,accidents_x1decade_facetoccRole_reorderlarge_to_small_colorrainbow.png,"accidents_x1decade_facetnone_reorderalph_colorrainbow.png,accidents_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,accidents_x1decade_facetoccRole_reorderalph_colorrainbow.png,accidents_x1decade_facetoccRole_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetdecade_reorderalph_colorrainbow.png,accidents_x1occRole_facetdecade_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetnone_reorderalph_colorrainbow.png,accidents_x1occRole_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,occRole,decade,1.71,F,T,F,T,T,T,occRole,decade
accidents,barchart,Car Accidents,occRole,decade,injSeverity,"On average, what is injury severity level of drivers?",retrieve_value,2,"This data visualization is intended to show information about: <b>severity level of injuries reported for during car accidents across different decades</b>. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",numerical,accidents_x1occRole_facetnone_reorderlarge_to_small_colorrainbow.png,"accidents_x1decade_facetnone_reorderalph_colorrainbow.png,accidents_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,accidents_x1decade_facetoccRole_reorderalph_colorrainbow.png,accidents_x1decade_facetoccRole_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetdecade_reorderalph_colorrainbow.png,accidents_x1occRole_facetdecade_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetnone_reorderalph_colorrainbow.png,accidents_x1occRole_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,occRole,decade,1.78,*,T,F,T,T,F,occRole,NA
accidents,barchart,Car Accidents,occRole,decade,injSeverity,"On average, how much higher is the injury severity level of backseat passengers compared to drivers?",make_comparisons,3,"This data visualization is intended to show information about: <b>severity level of injuries reported for during car accidents across different decades</b>. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",numerical,accidents_x1occRole_facetnone_reorderlarge_to_small_colorrainbow.png,"accidents_x1decade_facetnone_reorderalph_colorrainbow.png,accidents_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,accidents_x1decade_facetoccRole_reorderalph_colorrainbow.png,accidents_x1decade_facetoccRole_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetdecade_reorderalph_colorrainbow.png,accidents_x1occRole_facetdecade_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetnone_reorderalph_colorrainbow.png,accidents_x1occRole_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,occRole,decade,0.31,*,T,F,T,T,F,occRole,NA
accidents,barchart,Car Accidents,occRole,decade,injSeverity,"On average, how much higher are the injury severity levels of drivers compared to backseat passengers in the 1990s?",make_comparisons,4,"This data visualization is intended to show information about: <b>severity level of injuries reported for during car accidents across different decades</b>. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",numerical,accidents_x1occRole_facetdecade_reorderlarge_to_small_colorrainbow.png,"accidents_x1decade_facetnone_reorderalph_colorrainbow.png,accidents_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,accidents_x1decade_facetoccRole_reorderalph_colorrainbow.png,accidents_x1decade_facetoccRole_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetdecade_reorderalph_colorrainbow.png,accidents_x1occRole_facetdecade_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetnone_reorderalph_colorrainbow.png,accidents_x1occRole_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1xCAT2,occRole,decade,0.21,F,*,F,T,T,T,occRole,decade
accidents,barchart,Car Accidents,occRole,decade,injSeverity,How much higher is the injury severity level of accidents in the decade with the higher severity compared to the lower severity?,determine_range,5,"This data visualization is intended to show information about: <b>severity level of injuries reported for during car accidents across different decades</b>. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",numerical,accidents_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,"accidents_x1decade_facetnone_reorderalph_colorrainbow.png,accidents_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,accidents_x1decade_facetoccRole_reorderalph_colorrainbow.png,accidents_x1decade_facetoccRole_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetdecade_reorderalph_colorrainbow.png,accidents_x1occRole_facetdecade_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetnone_reorderalph_colorrainbow.png,accidents_x1occRole_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2,occRole,decade,0.36,F,T,*,T,F,T,NA,decade
accidents,barchart,Car Accidents,occRole,decade,injSeverity,"Within of injuries involving backseat passengers, how much higher is the injury severity level in the decade with the higher severity compared to the decade with the lower severity? ",determine_range,6,"This data visualization is intended to show information about: <b>severity level of injuries reported for during car accidents across different decades</b>. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",numerical,accidents_x1decade_facetoccRole_reorderlarge_to_small_colorrainbow.png,"accidents_x1decade_facetnone_reorderalph_colorrainbow.png,accidents_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,accidents_x1decade_facetoccRole_reorderalph_colorrainbow.png,accidents_x1decade_facetoccRole_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetdecade_reorderalph_colorrainbow.png,accidents_x1occRole_facetdecade_reorderlarge_to_small_colorrainbow.png,accidents_x1occRole_facetnone_reorderalph_colorrainbow.png,accidents_x1occRole_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,occRole,decade,0.96,F,*,F,T,T,T,occRole,decade